
###############[ Opgave A ]###############

ann1(2): 0
x=-1, g(x)=0.35322690848236, r(x)=0.354224637537611
x=-0.98, g(x)=0.354982871476245, r(x)=0.355536024413964
x=-0.96, g(x)=0.352332205997635, r(x)=0.352484464877578
x=-0.94, g(x)=0.344980431601482, r(x)=0.344797958291334
x=-0.92, g(x)=0.332683946184128, r(x)=0.332247634905105
x=-0.9, g(x)=0.315257465381858, r(x)=0.314655470829812
x=-0.88, g(x)=0.292580903608013, r(x)=0.291901730275094
x=-0.86, g(x)=0.264605531245692, r(x)=0.263931939207317
x=-0.84, g(x)=0.231359247270106, r(x)=0.230763187595964
x=-0.82, g(x)=0.192950815059312, r(x)=0.192489555920735
x=-0.8, g(x)=0.149572921382253, r(x)=0.149286466217166
x=-0.78, g(x)=0.101503934458263, r(x)=0.101413769067157
x=-0.76, g(x)=0.0491082564005396, r(x)=0.0492173957900983
x=-0.74, g(x)=-0.00716481196634095, r(x)=-0.00687057039778074
x=-0.72, g(x)=-0.0667837503325753, r(x)=-0.0663335196467104
x=-0.7, g(x)=-0.1291390705145, r(x)=-0.128573715995816
x=-0.68, g(x)=-0.193549138743375, r(x)=-0.192917510616557
x=-0.66, g(x)=-0.259267535482716, r(x)=-0.258622360191885
x=-0.64, g(x)=-0.325491887433887, r(x)=-0.324885595491758
x=-0.62, g(x)=-0.39137407413543, r(x)=-0.390854837077769
x=-0.6, g(x)=-0.456031679963891, r(x)=-0.455639907805993
x=-0.58, g(x)=-0.518560532136482, r(x)=-0.518326047069496
x=-0.56, g(x)=-0.57804813723041, r(x)=-0.57798819115865
x=-0.54, g(x)=-0.633587803480465, r(x)=-0.633706049226496
x=-0.52, g(x)=-0.684293214366975, r(x)=-0.68457967644102
x=-0.5, g(x)=-0.729313201374526, r(x)=-0.729745226039435
x=-0.48, g(x)=-0.767846450827633, r(x)=-0.768390550910758
x=-0.46, g(x)=-0.799155871842152, r(x)=-0.799770323411122
x=-0.44, g(x)=-0.822582350015567, r(x)=-0.823220349381034
x=-0.42, g(x)=-0.83755761474392, r(x)=-0.838170768437896
x=-0.4, g(x)=-0.843615957101223, r(x)=-0.84415785686819
x=-0.38, g(x)=-0.84040455001974, r(x)=-0.840834180845718
x=-0.36, g(x)=-0.827692142903043, r(x)=-0.827976885013721
x=-0.34, g(x)=-0.805375928489578, r(x)=-0.805493943273266
x=-0.32, g(x)=-0.773486410333565, r(x)=-0.77342824340628
x=-0.3, g(x)=-0.732190134129286, r(x)=-0.731959423403642
x=-0.28, g(x)=-0.681790184608087, r(x)=-0.681403423607967
x=-0.26, g(x)=-0.622724391119168, r(x)=-0.62220976369549
x=-0.24, g(x)=-0.555561228416898, r(x)=-0.554956595987452
x=-0.22, g(x)=-0.480993443706499, r(x)=-0.480343625713305
x=-0.2, g(x)=-0.399829485691142, r(x)=-0.399183024023782
x=-0.18, g(x)=-0.312982855240773, r(x)=-0.312388490415709
x=-0.16, g(x)=-0.221459539393441, r(x)=-0.220962647676961
x=-0.14, g(x)=-0.126343729757105, r(x)=-0.125982974600197
x=-0.12, g(x)=-0.0287820621072347, r(x)=-0.0285864998267609
x=-0.1, g(x)=0.0700333547509906, r(x)=0.0700465053442072
x=-0.08, g(x)=0.168882826698655, r(x)=0.168709586077708
x=-0.0600000000000001, g(x)=0.266537564155748, r(x)=0.266187657471142
x=-0.04, g(x)=0.361778445640166, r(x)=0.361274788747823
x=-0.02, g(x)=0.453414719259859, r(x)=0.452791950740513
x=0, g(x)=0.54030230586814, r(x)=0.539604457567177
